"A total of %1 submission(s) have been sent.","A total of %1 submission(s) have been sent."
"Address Line 2","Address Line 2"
"Are you sure?","Are you sure?"
"City(required)","City(required)"
"Country","Country"
"Customer Email","Customer Email"
"Default","Default"
"Display elements of the field inline instead of the column","Display elements of the field inline instead of the column"
"Enable Mailchimp Integration","Enable Mailchimp Integration"
"Field","Field"
"Fields Mapping","Fields Mapping"
"Inline Elements","Inline Elements"
"Mailchimp","Mailchimp"
"Mailchimp Group","Mailchimp Group"
"Mailchimp Integration Add-on","Mailchimp Integration Add-on"
"Mailchimp Integration Settings","Mailchimp Integration Settings"
"Maximum allowed options","Maximum allowed options"
"Maximum allowed options error text","Maximum allowed options error text"
"Maximum Selected Options","Maximum Selected Options"
"Maximum Selected Options Error Text","Maximum Selected Options Error Text"
"Minimum allowed options","Minimum allowed options"
"Minimum allowed options error text","Minimum allowed options error text"
"Minimum Selected Options","Minimum Selected Options"
"Minimum Selected Options Error Text","Minimum Selected Options Error Text"
"Multiple Selection","Multiple Selection"
"Please check at least %1 options","Please check at least %1 options"
"Please check not more than %1","Please check not more than %1"
"Postal/Zip(required)","Postal/Zip(required)"
"Select multiple values","Select multiple values"
"Send Contact","Send Contact"
"State/Prov/Region(required)","State/Prov/Region(required)"
"Street Address(required)","Street Address(required)"
"Tags","Tags"
